county,base_REAI,base_rank,labor_focused_REAI,labor_focused_rank,transport_focused_REAI,transport_focused_rank,policy_focused_REAI,policy_focused_rank
Alamance,42.28756578167552,82,37.818568149962566,88,46.935170311053966,71,42.60566437572398,87
Alexander,50.23657053140963,49,51.49240512292201,37,50.48045213325841,54,46.32287749450319,70
Alleghany,42.561644159081425,80,40.35459261897826,82,41.273369623980734,89,49.10394880242348,57
Anson,52.363799080410686,35,50.94877545307254,41,53.34864222583248,36,54.940345483804364,29
Ashe,56.54382110616181,23,57.49563737730113,21,58.12808367380451,16,52.58586961266108,39
Avery,39.16659753006408,94,31.4918120043016,99,46.9265717281069,72,40.90779276815808,92
Beaufort,40.78323440662462,89,39.3532786961107,84,39.47489624125525,93,44.676693074311984,78
Bertie,45.46887727814779,76,45.575479598808734,70,43.02594860743524,85,48.902273858494866,59
Bladen,51.81966410767842,39,47.94347008619351,62,56.154790993214164,21,54.04349477826794,31
Brunswick,55.17281710948676,25,55.28324487357637,28,54.60248437236733,31,57.62907635360027,14
Buncombe,39.64705045890882,92,37.35821537693072,91,40.591901466772306,90,40.86529559440932,93
Burke,50.10839447987673,51,48.034375448683704,60,53.98965176021757,33,47.77283294760792,65
Cabarrus,52.54341591521254,33,49.964768753753525,47,56.10373339459311,23,53.01433083480603,36
Caldwell,38.421953669727515,96,32.959194314669375,96,42.96359232984778,86,40.538546333750915,95
Camden,54.91196372143231,26,55.63801938678474,26,56.65819885837489,20,50.745093080583054,50
Carteret,39.948240230670834,91,48.34810389212906,56,28.704770271601433,100,37.138011687929755,99
Caswell,53.21860306180942,31,52.02340318456117,34,56.0564511799219,24,51.574745976185866,45
Catawba,57.6459634869118,17,59.10835119354604,18,56.14252222105386,22,59.0604976450292,11
Chatham,57.84867037565804,16,62.128540805607194,10,52.957251582300835,39,58.604803921494835,12
Cherokee,48.174127379847945,63,48.17740744046296,59,49.47525807885847,61,44.8923320990954,76
Chowan,50.809284652820715,43,51.1124280063632,38,51.94610320617293,49,47.840764091332474,61
Clay,59.44157411268104,9,65.49940917599791,5,55.40298908063137,26,53.97830221716805,32
Cleveland,47.601648508339245,66,49.13111114370035,52,44.17245988722532,79,49.80479823746647,54
Columbus,46.67485863159606,71,48.01814723821157,61,43.85842045257173,83,47.831753804052795,62
Craven,61.420476777962946,6,65.36730891746191,6,60.3266843356429,10,56.24838462357861,20
Cumberland,65.98271940004015,3,69.17830385241894,3,64.79022719491736,5,64.4811520372069,3
Currituck,40.94657016688305,87,37.58429178558905,90,44.09010110286561,80,40.93677949594774,91
Dare,62.00971487250593,5,63.69785191947667,9,61.77005857026861,6,61.48370947811135,4
Davidson,51.41289325589651,42,51.10484798560313,39,50.98391070804519,51,53.59069969061656,34
Davie,50.27372435535815,47,51.774746112044994,35,49.336637915676874,63,48.16004676959632,60
Duplin,60.12607420104983,8,64.03421935329644,8,58.26305769137693,15,56.27524731625264,18
Durham,68.17225452773461,2,68.940508811851,4,69.81008015377783,1,68.14052800427734,1
Edgecombe,39.28950638682636,93,37.74934122545003,89,37.60937997782652,97,43.8113277875828,83
Forsyth,59.16269230886111,10,64.72338818317078,7,52.663941918383756,41,60.13075845919131,7
Franklin,52.79971615978464,32,52.5509700144822,33,52.01047435265419,46,55.98707542179317,21
Gaston,50.038307488493366,52,50.4771761639712,44,48.20351888166057,66,52.668608374292624,38
Gates,46.513189344849216,74,47.64436049960082,64,44.01942005966118,82,47.533969634901666,66
Graham,41.445471576116915,86,42.06787206756466,78,39.73464993433459,92,40.70024073161906,94
Granville,58.26439492633248,14,59.717968640963896,13,60.421031174980904,9,52.24411540647381,42
Greene,47.93732578982883,64,49.512430537025864,49,47.01781831327048,69,44.872605742844556,77
Guilford,50.78055836369725,44,48.429943496830965,53,55.423871961958255,25,47.82247096281496,63
Halifax,60.656166321503335,7,56.460001027006,23,67.51847975903513,2,61.16812660581447,5
Harnett,47.91380419018878,65,47.17233788405543,66,49.72120391190119,58,45.55659314096604,72
Haywood,38.64341553697248,95,33.67905192389293,95,39.93987428418495,91,46.2278575143297,71
Henderson,47.21306129398232,67,41.4532619731028,80,52.589615506833624,43,51.07617011238273,48
Hertford,43.744005993334454,79,41.81494396684266,79,46.417687873515874,75,41.59814770782893,90
Hoke,46.57994898738969,73,44.64487277001613,73,47.007439227777496,70,50.004584493696,53
Hyde,49.82968399351204,53,48.31476336236892,57,51.96724626075262,48,49.505086501543126,55
Iredell,53.62025756475445,30,56.16738348679705,25,49.87542021519204,57,55.49321882516565,24
Jackson,47.023159843523736,68,43.632143119991525,76,49.607500096843566,60,50.10590091225545,52
Johnston,57.586930212568674,19,60.25167460805016,12,54.12406056790828,32,59.74939772577055,8
Jones,36.52733170572123,98,32.72461718022944,98,39.25690671345784,94,37.259923036851696,98
Lee,65.61541664166701,4,69.24441007715349,2,65.50889204243263,4,60.5338359009234,6
Lenoir,42.085501555367316,83,40.60757059115699,81,41.8392764076861,88,44.28802241559137,80
Lincoln,52.13384490817239,37,52.65258639495403,32,52.15079181191582,44,51.3104100019188,47
McDowell,48.50788384273889,61,49.44797863512062,51,48.68268855238657,65,45.087654940571305,75
Macon,46.768112685430836,70,50.5083792413903,43,43.46414008573625,84,42.33742328619647,88
Madison,58.07051720786545,15,59.398743094357904,16,57.271114234513334,19,58.51433735089368,13
Martin,45.78904639226353,75,44.39987940142983,74,47.235216187568554,68,45.33427507435313,73
Mecklenburg,58.52072969790903,12,58.52455452935208,19,60.580578611054655,8,56.79318028992232,16
Mitchell,56.71761440626832,22,57.370606703609475,22,57.63915406548268,18,55.02414116860051,28
Montgomery,50.46433961900201,46,51.09567918224074,40,49.414814510437886,62,51.05059995691335,49
Moore,46.84198930943841,69,43.582320072885565,77,49.67467788748483,59,48.98731049327259,58
Nash,56.177107607613905,24,53.93499889382504,30,58.626809011812234,12,59.14001145896226,10
New Hanover,57.45812480227155,20,55.53148808293665,27,60.25085484027261,11,59.22004263601093,9
Northampton,50.23585611383986,50,52.77403105980066,31,46.143135454863696,76,51.83301244261778,43
Onslow,53.875739331204045,29,50.04053691346663,45,57.868697235854626,17,57.32516555505494,15
Orange,52.26586239439351,36,50.693687587242955,42,53.18837331760638,37,55.37787985505639,25
Pamlico,51.663067490298296,41,54.86591228531102,29,49.90891155041307,56,46.96784336663169,68
Pasquotank,54.37187564091978,28,57.58254978186138,20,50.40227581395722,55,55.105993030282434,27
Pender,44.884593687036634,77,44.19365883012862,75,45.480413938624956,77,43.999272723903246,81
Perquimans,48.711345679176915,60,45.07219266916775,72,52.03576953944699,45,51.44713141928103,46
Person,51.79086626146022,40,49.533196946402754,48,55.08884130499817,27,51.69301608618868,44
Pitt,48.929976515611976,59,46.13122738572054,67,51.72421248104461,50,50.513728443164794,51
Polk,50.6057768294867,45,49.49300700713592,50,53.718155923640715,34,47.367012089301454,67
Randolph,49.46294707069157,55,47.31685716665038,65,50.86666389071131,52,52.307217916867124,41
Richmond,36.309302243494244,99,32.790413154685815,97,37.18964579456612,98,40.0536906618746,96
Robeson,58.406516726787835,13,60.3837767677674,11,58.50480425182829,13,55.28037096917759,26
Rockingham,40.943112181952934,88,40.19413528586787,83,38.9203753919564,95,44.492835939381166,79
Rowan,32.5971651569252,100,28.086584155520843,100,35.81433169356979,99,33.077225480103515,100
Rutherford,41.98819684630647,84,38.844335543004725,86,44.03263706582464,81,43.9863815376521,82
Sampson,42.54901641929961,81,37.08035027723899,92,46.69236705892252,73,46.76695403200692,69
Scotland,52.42241870852318,34,49.98855918664695,46,55.05832833208468,28,54.387202958148436,30
